VIBRANT,EXPLORE,LAID.BACK,REMORSEFUL,COMFORTING,LEVEL.HEADED,INSOCIALABLE,PRIORITIZABLE,SELF-ASSERTING,TEAM.PLAYER,DETAIL.ORIENTED,AFFECTIONATE,METHODICAL,REGRETFUL,INTROVERT,INDECISIVE,COMPOSED,SOCIALABLE,FANTASTICAL,SELFISH,GOAL.ORIENTED,SELF.DOUBT,NON-APPROACHABLE,NON-PHILOSOPHICAL,VULNERABLE,BUSTLING,VISIONARY,EMOTIONALLY.CHARGED,SENSE.EXPERIENCED,REVENGEFUL,IMPETUOUS,LONE-WOLF,SENTIMENTAL,DECISIVE,IMPENITENT,QUIET,FOCUSED.PRESENT,INSENSITIVE,PROACTIVE,INSECURE,APPROACHABLE,UNSTRUCTURED,MOODY,PHILOSOPHICAL,SENSITIVE,UNREPENTANT,REALIST,EMPATHIC,EMOTIONAL,CONFIDENT
3,8.6,6.3,9.9,7.2,8.6,10,8.6,9,1,6.8,9.7,6.9,3.5,9.6,4.5,7.5,8.3,10,1,4.8,3.2,2.3,1,2,1.4,8.5,2.5,3.4,1,1.6,3.6,8.4,8.3,4.6,7.5,3.8,2.3,9.5,1.4,6.9,7.4,1.2,9.9,10,7.5,5.5,8.6,4.7,8.9
6.5,4.5,3.2,8.3,4.56,3.8,2.11,9.81,7.55,8.3,5.2,8.95,9.8,7.61,6.2,3.2,4.65,5.5,4.33,1,8,9.88,9.56,5,8.3,7.5,8.7,8.66,4.3,3.2,3.2,3.1,7.3,7.89,9.3,7.65,9.8788,1.33,7.65,6.63,4.36,5.33,6.3,8,7.65,,8.3,6.66,5.33,4.89
3,7,1,7,3,5,8,9,5,2,5,,10,2,6,1,8,2,3,2,5,6,8,3,9,3,5,7,5,1,2,8,4,4,4,7,6,2,8,3,5,6,2,2,3,5,3,5,5,7
3.8,4.7,4,8,3,3,9,10,4.5,1,8,7.5,,8,9,7,1,1,4,9,6,9,9,10,1,9,3,1,9,10,7,7,10,3,5,5,1,10,1,10,6.5,5,9,1,2.5,5,7,8,7,1
4,9.7,3.3,4.6,7.87654321,9.9,0.4,7.2,4.64,2.2,,2.22,6.969696969,2.05,7,4.8,7.983,9.5,9.7,4,3.79,8.1,4.2,1,3,3.5,10,1.4,1,2,1.2,6.8,9.7,5,2.06,6.93,1.3,7,9,1,9.6,5.5,1.2,10,2,4,1,6.12,1.91,2
7,1.1,7.95,9.98756,8.7294,5.8213,9.99999,7.89890345,1.192341,1.0000001,5.69235,9.98989898,8.91254,5.311,9.671,10,1.2345,3.3333,6.781,1.1111,6.789,9.9999,4.35,1.234,5.55,5.466,7.564,6.54,5.45,3.24,4.02,2.67,9.9999999,2.31456789,2.34156,8.89,4.5123,1,6.87234,2.11111111,1.2,6.78,3.123,7.99129,10,9.9999,5.64,6.897,8.9768,8.679
8,10,3.5,3.3,5,0.33,2.3333,6.6,9,0,8,7,1,1,7,1,7,2,10,4,8,2,8,2,10,1,8.88,5,7,9,7,9,3,6.876,9.8989,9.999,6,2.7,1.345,4,8,3,5,7.676,1,5,6,4.67,2,1
5,2,10,1,10,10,5,10,10,1,5,10,10,1,1,1,10,,5,1,10,10,5,1,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5
7,7,3.5,6.5,10,0.0000001,6.77777,4.5,7.6,3,5,7.5,1.3,8.88888,5,6.7777,4.5,6.5,6.8,3.5,4,6.7,4.9,5,6.8,6,6.7,6,4,4,6,5,6.8,5,7,8,6.9,4,7,6.7,7.5,4,7,5.6,8.5,5,5,7.6,7.8,4
2.1,7.2,8.4,9.9,5.5,3.7,8.5,7.1,1.1,2.1,5.2,4.5,6.1,8.2,9.5,8.7,5.6,3.33,7.4,1.01,8.9,10,7.7,8.1,1.2,9.9,4.5,5.5,3.4,1.1,6.2,8.3,6.1,3.2,1.1,5.2,8.1,3.33,4.4,3.2,1.5,3,4.6,4.3,8.9,2.1,4.8,7.1,5.6,3.2
6.1,7.5,3.2,9,7.621,3.226,5.22,8.2,1.1,0.001,8.999,10,5.123,10,2.12,9.001,7.1,10,1,1,5.1,,9,,10,,7.021,1.02451,,1.0021,5,1.213,5.012,10,10,9.012,1.0231,1.023,8.123,10,8.123,8.012,9.1204,1.231,5.123,9.01,2.31,,2.741,2.6
8.9,4.5,1,5.6,5.8989,4.987654,3.88765432,6.9,0.111111111,,99,8,9.77655,1.76,7.98,9.7654,98.7665,3.655,1.23444,1,10,9.88,8,1.566,2.333,10,10,1,5,2.1,1,4.6,9,9.9,1.23,2.33,5.6,1.2,5.5,9.9,5.5,2.3,8,9.9,8,9.o,10,6.6,2,7.8
3.1,7.1,8.2,9.6,4.8,7.2,7.7,7.5,7.7,3.3,5.5,6.9,6.7,7.8,7.9,8.8,8.8,3.3,7.7,2.2,8.4,7.9,8.4,3.2,9.5,3.1,9.2,3.9,7.8,3.1,2.7,6.6,7.5,6.3,3.3,8.8,3.4,4.5,4.2,3.2,2.9,7.9,5.5,8.8,2.9,4.1,2.5,3.7,3.1,7.2
5.5,6,2,8,6,3,1,6,7,5,3,6,5,7,5,8,6,6.5,6,1,6,7,5,8,8,8,5,7,8,5,5,6,2,4,4,5,6,3,5,9,9,7,6,5,7,4,4,8,7,4
5,4,6,10,3.1415926,5,1,10,8.88,4.99,5,9.99999,5,6,10,10,6.6,1,1,1,3,10,5,10,1,10,3,1.1,5,10,5,10,6,3.3,3,10,10,1,5,1,8,10,5,10,3,1,1,10,5,5
6.8,7.1,4.9,8.5,0.1,5,5,6.1,4.3,1,3.9,9.2,5.5,,6.8,,5.5,2.5,4,7.1,5,,8.6,2,9.5,8.5,9.5,3.5,5,8.5,7.1,8.2,9.2,8.4,6,5.8,5,1.1,,4.1,8.8,6.5,6.8,6.8,5.5,8,8.6,8,7.1,8.9
6.9,8.8,1,9.9,5.5,1.2,2.222,9.999,1.1564,1.112233,9.897578,10,10,10,1.2,9.88775,7.867,8.6,4.3,1.3,5.5,9.9,1.2,1.1,10,5.6,10,10,8.9,10,10,5.5,10,10,9.9,3.5,9.7,8.9,8.6,1.1,10,8.9,1,1,10,10,10,9.4,1.9,4.8
